Hour,GROUND_R5_Temp,GROUND_R5_Humidity,UPPER_R5_Temp,UPPER_R5_Humidity,District Heating Water Energy : HOT WATER LOOP DISTRICT HEATING,DistrictCooling:Facility : None,Electricity:Facility : None,Fans:Electricity : None,InteriorEquipment:Electricity : None,InteriorLights:Electricity : None,Pumps:Electricity : None,Water:Facility : None,Total Energy
15,21.532266367480716,59.24035316882404,20.816402999171196,44.64235302036752,478285909.0685659,123326466.21858321,98049904.97228435,8673228.299255883,72669040.93839769,14071588.96178113,2636046.7728496185,0.30496666785053084,298587363.40133405
16,21.532187313848144,58.48185885804117,20.80055733421999,44.693116635865074,480582323.3972243,118242815.42802958,103895596.86076699,8673228.299255883,75903161.96629804,16761890.098457782,2557316.496755299,0.3495959363164626,303503976.469185
17,21.531755649582724,57.73682660662001,20.880828651019673,44.737115968583446,477624328.8723977,115636038.81502,125499593.56265828,8673228.299255883,91287837.76472382,23039258.9947167,2499268.5039619096,0.40910162760437124,323253049.45846415
18,21.530620518708034,57.38860225648106,21.001631574657257,46.034259811202595,478499888.18618155,107278538.07435627,154104027.13899815,8673228.299255883,114684788.38251103,28419860.95108005,2326149.5061511546,0.5429894330021654,349363502.5591774
19,21.52957307986782,57.66027535734829,21.129931193665183,46.97220195239091,475706256.98024833,104533440.5501615,160302521.17984983,8673228.299255883,114684788.38251103,34697230.00583395,2247274.492248917,0.6396861813450169,353715753.68998647
20,21.529603616523858,58.22034641316438,21.212825259553703,47.301953845556405,474730114.6248882,105100214.09274812,155996762.9624736,8673228.299255883,105914410.14066473,39181065.02230175,2228059.500251293,0.6099333357010631,349273539.20168567
21,21.529669584438462,58.847978498523396,21.17280711116486,48.018182271160526,484923150.1546112,98801967.5679511,151627805.28274104,8673228.299255883,101602248.77013095,39181065.02230175,2171263.1910524718,0.5578658558241428,346202844.5235951
22,21.52946789586665,59.64900455395671,21.19235115674332,49.632818726716046,486425109.95894414,96587129.47102135,137061863.52979553,8673228.299255883,96065991.55618495,30213394.989366166,2109248.684988557,0.4537308960703022,331399276.6731174
23,21.529933427943337,60.47241774150557,21.160479790908372,50.719549298106955,493697480.4212947,97488954.61349866,111776167.24375902,8673228.299255883,79749330.91590448,21245724.9564306,2107883.0721680587,0.3942252047823942,308838312.2553568
24,21.530362159068307,61.32818809816683,21.054236113050244,51.985581488600594,499843213.71261746,93183562.05174069,90213580.75198573,8673228.299255883,64510710.61825748,14968356.060171671,2061285.7743007073,0.21570813091866772,287889172.67343843
25,21.530767224854618,62.08523441458973,20.966403820169162,52.90693901046328,505318586.12744045,92192227.19282776,72895767.4445318,8673228.299255883,49884138.24231657,12278055.081989996,2060345.8209693453,0.059505691287907315,272066038.5512879
26,21.531154336918735,62.26452458543198,20.919977328260625,52.95891073325478,507770132.0200928,91326066.46664543,68580881.98853795,8673228.299255883,45571976.87178277,12278055.081989996,2057621.7355092869,0.029752845643953606,268279614.8174507
27,21.531426512292295,61.8312219588798,20.858346320770753,52.098587562126845,508219887.2072798,88571317.95822147,66415746.64153592,8673228.299255883,43415896.1865159,12278055.081989996,2048567.0737741592,0.007438211410988301,265346148.36336967
28,21.531487982583993,60.878085394430165,20.780403789697946,50.76392290468605,508595096.8795268,83879046.09428371,65326736.542888045,8673228.299255883,42337855.84388244,12278055.081989996,2037597.3177597236,0.007438211410988301,262818117.53415823
29,21.531093635161728,60.34882834233784,20.675922951827825,49.84032876799507,507886891.9163873,75166710.02890489,69484498.35539308,8673228.299255883,42949903.765588544,15865123.000067241,1996243.2904814063,0.029752845643953606,263835699.00382382
30,21.531742280757303,59.562489059110355,20.68261665347427,48.141011497883056,505319145.8331809,72211790.22465852,82388215.36545606,8673228.299255883,49564201.322168,22142492.054821134,2008293.6892110722,0.2008317080966909,274898527.3847359
31,21.531436954119087,59.27496894077931,20.70836732246967,47.33342677581942,500052095.96398264,68588090.55795808,97556332.12669359,8673228.299255883,63870836.777960315,23039258.9947167,1973008.0547606966,0.6991918726329261,287103060.9673405
32,21.68187025859584,58.730369822215664,20.84708447268152,46.85943359464923,501619173.75351393,70209354.96815845,110168941.74293329,8673228.299255883,77345033.15809168,22142492.054821134,2008188.2307645725,0.7438211410988574,300778451.3168241
33,21.6860572982379,58.72365188664087,20.886088566594395,47.74853326172923,503205963.27296627,76790870.57918848,110104756.6908283,8673228.299255883,80490464.82972063,18878146.32000185,2062917.2418499398,0.7140682954549032,303437034.64154655
34,21.684933829841157,58.88130595672354,20.96461872056606,49.77449153032316,506754187.5082908,87234880.66733465,107592809.49330145,8673228.299255883,79732361.40723576,17084612.28171575,2102607.505094074,0.62480975852304,305589165.5518433
35,21.684813217802297,60.263481994993384,21.127447452426626,52.894337643412996,507388139.5730509,105988840.20731519,107396699.1698116,8673228.299255883,79440250.40567827,17084612.28171575,2198608.183161717,0.5653040672351313,311855692.42993367
36,21.685080637965566,62.52508342051363,21.202745557370907,54.50549388771338,507824778.82582897,117704540.25853613,108523633.26603363,8673228.299255883,80518290.7483117,17084612.28171575,2247501.9367503067,0.4537308960703022,317033406.29415536
37,21.68560841154802,64.5607913857498,21.228623195929863,55.708795653706964,507866716.82377,123024007.12051295,106822582.31166923,8673228.299255883,79247091.02574714,16647577.676767655,2254685.30989856,0.3942252047823942,317119490.2930969
38,21.682354484484055,65.22146106557811,21.317302757555954,53.875036183030794,500289580.2290064,133419541.43741553,104297628.9591929,8673228.299255883,76206129.37777792,17084612.28171575,2333659.0004433594,0.3495959363164626,315534002.8480002
39,21.67205145169655,65.02586846170706,21.394953979139924,52.245628466603335,492195375.0125627,138436666.2065563,103252774.64116009,8673228.299255883,75128089.03514448,17084612.28171575,2366845.025043981,0.30496666785053084,313463455.04753304
40,21.678522808622656,64.25289214269934,21.45100530716373,50.421298268814695,490934548.3094975,140905346.39231735,109240912.5674025,8673228.299255883,78362210.0630448,19774913.4183924,2430560.7867094236,0.3495959363164626,319854210.80134076
41,21.686436337242096,63.49505352452826,21.540906102419495,50.31445022057658,492448618.13736653,135474570.57929572,130848645.35781027,8673228.299255883,93746885.8614706,26052282.314651314,2376248.8824324803,0.40910162760437124,340156374.93003106
42,21.606552832635913,63.997852871463266,21.504167690640074,52.179275776481326,494859115.971522,115689546.76796353,154333228.8321424,8673228.299255883,115076445.1502623,28419860.95108005,2163694.4315441716,0.5429894330021654,357849449.7453042
43,21.531378916408755,65.73092885583938,21.526174523607494,54.66106137339033,483509968.74457234,107552467.33290528,160085308.04032663,8673228.299255883,114684788.38251103,34697230.00583395,2030061.3527257515,0.6396861813450169,357106120.06615245
44,21.52947486821255,66.74640420335375,21.529016226346254,54.98180788606083,481625753.09856844,104474779.77841137,155761346.98660272,8673228.299255883,105914410.14066473,39181065.02230175,1992643.5243804043,0.6099333357010631,351128191.27892935
45,21.52955637823015,67.06607010744854,21.530432883766125,53.75401741639006,483301965.7061499,100756855.9265345,151438243.1935539,8673228.299255883,101602248.77013095,39181065.02230175,1981701.1018653035,0.5578658558241428,346124517.0711154
46,21.529527561147574,66.70194810039546,21.482735513590374,52.157752428597696,488885807.8436089,89762988.53742276,136904336.98996413,8673228.299255883,96065991.55618495,30213394.989366166,1951722.1451571663,0.4537308960703022,329787269.1169747
47,21.530578080974337,66.96958782130059,21.416886934031357,51.66940279765362,493377363.65133154,85436329.77106458,111638715.22233194,8673228.299255883,79749330.91590448,21245724.9564306,1970431.0507409845,0.3942252047823942,304576613.0297973
