Hour,Hydrogen_Produced_kg,Hydrogen_Stored_kg,Hydrogen_Used_kg,Electrolysis_Heat_Gain_kWh,FuelCell_Heat_Gain_kWh,Electrolysis Heat Consummed_kW,Energy_Consumption_kWh,Generated_PV_Power_kW,P_net_kW,Electrolysis Energy Consummed_kW,Fuel Cell Generated Energy_kWh,Useful_Energy_After_Storage_kWh,Water_Waste_filtered_kg,Tap_Water_Used_kg,Water_Needed_kg,Water_Produced_in_FuelCell_kg
22,0.0,0.4936962854490341,3.1253125312531256,0.0,15.0,0.0,85.78842007093245,0.0,-85.78842007093245,0.0,75.0,75.0,78.84504095647884,0.0,0.0,28.12781278127813
23,0.0,0.0,0.4936962854490341,0.0,2.369505195938348,0.0,79.96921463151068,0.0,-79.96921463151068,0.0,11.84752597969174,11.84752597969174,43.14162618373354,0.0,0.0,4.443266569041307
24,0.0,0.0,0.0,0.0,0.0,0.0,75.57389959757997,0.0,-75.57389959757997,0.0,0.0,0.0,11.901138257581461,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,74.52211522706963,0.0,-74.52211522706963,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,73.70726343426935,0.0,-73.70726343426935,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,73.00503264837728,0.0,-73.00503264837728,0.0,0.0,0.0,1.4876422821976603,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,73.28769416772884,0.0,-73.28769416772884,0.0,0.0,0.0,5.95056912879072,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,76.36070205131553,0.0,-76.36070205131553,0.0,0.0,0.0,40.16634161933818,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,79.7508502687057,0.0,-79.7508502687057,0.0,0.0,0.0,139.83837452658523,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,83.54956981022892,0.0,-83.54956981022892,0.0,0.0,0.0,148.7642282197715,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,84.28806517820738,28.53205336111111,-55.756011817096265,0.0,0.0,28.53205336111111,142.81365909098065,0.0,0.0,0.0
33,0.4381749427350572,0.4381749427350572,0.0,7.302185420679728,0.0,0.3052618767720898,84.88587931995647,109.2264973888889,24.34061806893243,24.34061806893243,0.0,84.88587990183045,124.961951704608,3.9435744846155147,3.9435744846155147,0.0
34,1.2656857469250244,1.7038606896600816,0.0,21.09265297250553,0.0,0.881761070357767,86.62658123053713,156.93542447222222,70.3088432416851,70.3088432416851,0.0,86.62657922693099,113.06081344702626,11.39117172232522,11.39117172232522,0.0
